SPEAKER	VOWEL	F0	F1	F2	F3
W	i	197.99	247	2370	3392
W	@	313.26	509	1647	2822
W	a	150.49	702	1463	2970
W	i	260.60	284	2514	3548
W	u	252.63	296	708	2504
W	i	219.85	261	2338	3366
W	i	190.64	284	2377	3330
W	u	184.42	281	824	2421
W	a	193.45	710	1508	2912
W	u	199.07	282	888	2610
W	@	352.27	513	1537	3008
W	a	198.02	727	1399	3007
W	i	217.48	299	2290	3469
W	u	180.39	267	862	2483
W	u	237.03	280	945	2589
W	u	223.41	310	991	2837
W	u	234.62	292	1031	2684
W	u	222.98	280	910	2643
W	a	199.09	688	1501	2712
W	i	213.31	248	2397	3494
W	u	220.56	280	928	2491
W	a	210.30	696	1697	2956
W	u	175.69	283	779	2502
W	a	206.68	806	1473	3006
W	i	202.34	265	2376	3530
W	a	203.36	728	1435	2933
W	u	213.68	270	1188	2724
W	a	190.54	672	1634	2894
W	i	208.19	236	2499	3392
W	a	205.55	569	1493	2839
W	i	236.68	280	2421	3405
W	u	230.25	307	795	2552
W	a	241.31	706	1682	2778
W	a	185.49	804	1573	2991
W	i	241.91	266	2461	3365
W	u	229.47	273	831	2506
W	a	197.70	712	1647	2987
W	i	189.80	236	2480	3463
W	@	353.91	398	1783	3008
W	u	190.33	269	1061	2639
W	@	362.41	466	1590	2796
W	i	224.02	266	2465	3478
W	a	171.43	738	1575	2940
W	i	174.95	249	2346	3488
W	a	213.15	640	1598	2984
W	a	226.27	665	1695	2936
W	i	210.56	297	2313	3442
W	i	202.72	250	2469	3365
W	i	227.86	311	2493	3327
W	u	228.21	285	1276	2864
W	u	226.32	311	945	2656
W	i	222.78	288	2445	3401
W	i	221.36	283	2401	3256
W	u	220.79	303	786	2668
W	a	180.06	780	1471	2941
W	a	214.87	641	1497	2870
W	a	213.56	671	1381	2995
W	i	185.51	281	2453	3424
W	u	219.10	302	841	2807
W	a	187.27	782	1435	3020
W	@	325.84	481	1547	2919
W	i	196.33	280	2402	3441
W	@	302.92	536	1607	3040
W	a	194.12	751	1444	2987
W	i	237.98	275	2527	3350
W	u	219.31	308	863	2569
W	i	217.14	269	2471	3385
W	i	225.48	337	2405	3446
W	u	221.84	282	679	2515
W	a	187.86	853	1664	2576
W	u	195.49	273	745	2549
W	a	157.10	869	1528	2673
W	i	165.67	306	2418	3335
W	u	193.26	313	866	2512
W	u	202.78	296	967	2587
W	u	185.37	353	985	2711
W	u	194.16	272	902	2611
W	u	161.35	305	864	2599
W	a	178.35	819	1707	2707
W	i	190.67	301	2402	3322
W	u	191.28	299	1101	2589
W	a	177.36	701	1852	2754
W	u	181.59	306	840	2497
W	a	150.85	902	1570	2710
W	i	176.30	260	2435	3166
W	a	152.88	878	1513	2699
W	u	189.60	326	1264	2686
W	a	165.56	612	1770	2722
W	i	175.03	260	2426	3232
W	a	151.43	873	1612	2558
W	i	161.49	322	2446	3418
W	u	162.44	318	823	2546
W	a	168.93	603	1884	2606
W	a	156.57	950	1662	2705
W	i	201.81	263	2460	3240
W	u	185.34	339	930	2575
W	a	156.73	849	1656	2670
W	i	170.01	265	2498	3512
W	u	169.70	297	1053	2696
W	i	181.96	261	2462	3399
W	a	165.81	802	1712	2689
W	i	167.17	322	2395	3332
W	a	143.64	806	1310	2445
W	a	142.34	801	1377	2425
W	i	154.61	314	2380	3449
W	i	174.18	256	2473	3309
W	i	168.44	232	2473	3365
W	u	177.29	312	1303	2598
W	u	176.19	338	1093	2630
W	i	166.96	324	2317	3413
W	i	170.44	357	2421	3149
W	u	160.97	336	811	2600
W	a	151.17	831	1282	2738
W	a	169.82	803	1872	2621
W	a	169.38	840	1727	2605
W	i	168.70	315	2372	3315
W	u	156.25	322	913	2584
W	a	157.09	820	1659	2676
W	i	166.80	292	2421	3463
W	@	124.59	430	1615	2730
W	a	152.52	875	1466	2639
W	i	211.07	225	2463	3444
W	u	195.54	318	904	2520
W	i	191.04	240	2476	3431
W	i	199.94	282	2385	3505
W	@	128.83	564	1889	3024
W	u	199.61	323	860	2466
W	a	186.02	932	1717	2858
W	u	178.06	282	865	2344
W	a	157.92	897	1552	2675
W	i	169.00	322	2412	3358
W	u	188.40	308	823	2543
W	u	199.35	292	1126	2651
W	u	189.95	333	948	2705
W	u	185.79	316	1005	2605
W	u	166.37	317	896	2571
W	a	183.03	770	1649	2623
W	i	187.62	355	2420	3432
W	u	187.67	386	1257	2640
W	a	167.09	739	1746	2683
W	u	176.29	282	914	2499
W	@	134.34	432	1713	2721
W	a	152.66	936	1595	2717
W	i	178.66	273	2419	3192
W	a	150.64	882	1508	2694
W	u	181.36	299	1313	2660
W	a	163.98	705	1743	2776
W	i	175.43	234	2440	3242
W	a	151.60	905	1591	2621
W	i	163.28	301	2460	3391
W	u	163.02	297	843	2682
W	a	158.56	702	1820	2541
W	a	152.10	919	1607	2817
W	a	160.37	890	1887	2775
W	@	125.29	472	1840	2797
W	i	210.58	258	2460	3312
W	u	191.52	313	966	2501
W	a	170.35	866	1675	2733
W	i	177.03	285	2484	3401
W	u	176.13	300	973	2617
W	i	178.09	267	2476	3489
W	i	182.53	333	2409	3370
W	a	153.44	889	1455	2651
W	a	150.58	858	1551	2553
W	i	164.59	312	2307	3381
W	i	189.73	240	2453	3291
W	i	186.34	279	2495	3401
W	u	185.72	307	1276	2594
W	u	189.47	264	899	2649
